full,fav_beer
Alabama , Budweiser
Arizona , Dos Equis
Arkansas , Budweiser
California , Budweiser
Colorado , Denver Beer Co
Connecticut , Bud Light
Delaware , Dogfish Head
Florida , Stella
Georgia , Terrapin
Idaho , Budweiser
Illinois , Goose Island
Indiana , Miller Light
Iowa , Budweiser
Kansas , Coors Light
Kentucky , Budweiser
Louisiana , Abita
Maine , Budweiser
Maryland , Budweiser
Massachusetts , Budweiser
Michigan , Budweiser
Minnesota , Budweiser
Mississippi , Lazy Magnolia
Missouri , Budweiser
Montana , Budweiser
Nebraska , Nebraska Black Betty
Nevada , Coors Light
New Hampshire , Budweiser
New Jersey , Miller Light
New Mexico , La Cumbre
New York , Budweiser
North Carolina , Bud Light
North Dakota , Fargo
Ohio , Heineken
Oklahoma , Budweiser
Oregon , Budweiser
Pennsylvania , Bud Light
Rhode Island , Narragansett
South Carolina , Budweiser
South Dakota , Budweiser
Tennessee , Budweiser
Texas , Lone Star
Utah , Budweiser
Vermont , Bud Light
Virginia , Budweiser
Washington , Bud Light
West Virginia , Budweiser
Wisconsin , Spotted Cow
Wyoming , Snake River